gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
DECR1,ENSG00000104325,ENST00000220764,transcript,ENSG00000104325,32.05510526,32.09568588
ZNF217,ENSG00000171940,ENST00000371471,transcript,ENSG00000171940,30.85686492,32.09577839
KRT74,ENSG00000170484,ENST00000305620,transcript,ENSG00000170484,32.217982,32.09587106
TSSK1B,ENSG00000212122,ENST00000390666,transcript,ENSG00000212122,32.05058217,32.09594187
ZG16,ENSG00000174992,ENST00000400752,transcript,ENSG00000174992,32.3110077,32.09595264
NCAPD3,ENSG00000151503,ENST00000534548,transcript,ENSG00000151503,32.07847794,32.09602006
RUNDC1,ENSG00000198863,ENST00000361677,transcript,ENSG00000198863,31.91026565,32.09604024
PTCRA,ENSG00000171611,ENST00000304672,transcript,ENSG00000171611,32.09644156,32.09605552
SLC24A2,ENSG00000155886,ENST00000341998,transcript,ENSG00000155886,31.93516313,32.09608678
PIWIL3,ENSG00000184571,ENST00000332271,transcript,ENSG00000184571,32.11481494,32.09621796
KCNJ16,ENSG00000153822,ENST00000392670,transcript,ENSG00000153822,31.37924662,32.09636891
